"","TIER_ID","ANNOTATION_ID","VALUE","t0.id","t0","t1.id","t1","filename","atype","ANNOTATION_REF","PREVIOUS_ANNOTATION","EXT_REF"
"26","A_phrase-segnum-es","ann923_flexid_48550116-2520-455a-a4c3-f161fc7878dd","34","ts68",259382,"ts69",260520,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"27","A_phrase-segnum-es","ann945_flexid_9db3086a-ddd7-4b86-8912-7e94ffb6b03a","35","ts70",262019,"ts71",265138,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"28","A_phrase-segnum-es","ann1068_flexid_80cd1ca3-433a-42ad-a65e-0bcaa22af619","38","ts76",275493,"ts77",279298,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"29","A_phrase-segnum-es","ann1135_flexid_5cf2a025-9c1d-46d6-81c3-de1a8a4518f8","39","ts78",281451,"ts79",282933,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"30","A_phrase-segnum-es","ann1158_flexid_ef690a5f-c1f9-4f68-b6f9-20ad2611bbd0","40","ts80",284974,"ts81",287093,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"31","A_phrase-segnum-es","ann1188_flexid_3cc67349-0af3-4aff-8bb3-64b277d080ae","41","ts82",288402,"ts83",290571,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"32","A_phrase-segnum-es","ann1223_flexid_df5c81e3-a2bc-48aa-8884-46a1b77eea2f","42","ts84",295702,"ts85",296930,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"33","A_phrase-segnum-es","ann1338_flexid_86020f6b-e39f-4fc9-8b45-924a8cd695a1","47","ts94",331315,"ts95",334123,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"34","A_phrase-segnum-es","ann1369_flexid_3cb1707e-9500-4cff-9ea6-852905490756","48","ts96",335532,"ts97",338279,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"35","A_phrase-segnum-es","ann1407_flexid_6f2e290d-e0a2-4c84-a058-59ae8a55d9db","49","ts98",339721,"ts99",343554,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"36","A_phrase-segnum-es","ann1457_flexid_feeda2ac-25c6-42b2-bb36-768c72542d0f","51","ts102",347488,"ts103",351191,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"37","A_phrase-segnum-es","ann1492_flexid_d4d2e333-da2a-4b08-9dc3-1c8cd95d590b","52","ts104",359785,"ts105",364797,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"38","A_phrase-segnum-es","ann1664_flexid_3fbd9d74-8d83-42c5-a70b-6cd74563c758","58","ts116",386382,"ts117",390116,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"39","A_phrase-segnum-es","ann1700_flexid_09d5f94f-4a85-411b-abe1-e545b8e68108","59","ts118",390710,"ts119",392210,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"40","A_phrase-segnum-es","ann1723_flexid_b9a7cf81-ac9e-4c0b-a60c-a30d4b8e0bb2","60","ts120",394032,"ts121",396543,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
"41","A_phrase-segnum-es","ann1818_flexid_99567d26-5696-42bb-8004-c4ad5d39f026","64","ts128",415947,"ts129",419159,"ara_2613_glossed_2.eaf","ANN",NA,NA,NA
